[     417ms] [LOG] [tenantService] rowToTenant INPUT: {slug: gpsthailand, data.theme: Object, data.theme.primaryColor: #ff8800, full row.data keys: Array(13)} @ https://gpsthailand.centerlink.co.th/assets/index-VNRb2XwN.js:236
[  665807ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  695907ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  697003ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  699116ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  729256ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  730493ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  732609ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  762723ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  763836ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  765925ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  796030ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  797136ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  799249ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  829427ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  830687ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  832808ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  862967ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  864080ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  866197ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  896323ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  897537ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  899683ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  929806ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  930942ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  933098ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  963211ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  964360ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
